,class_a,class_b,relation,ans_yamasaki,ans_ueda,ans_daisuke,ans_hosomi,ans_kazuma,ans_sugi
54,printer,item,h1,k,h1,h1,s1,h1,h1
55,camera,item,h1,s1,h1,h1,h2,h1,h1
56,customer,order,k,k,k,k,k,s1,k
57,order_item,item,h1,s1,s1,h1,h1,h1,s2
58,order_item,order,s1,h1,s1,k,h1,h1,s2
59,order,delivery,k,k,s2,k,k,k,k
60,delivery,delivery_center,k,h2,s2,k,h2,h2,s1
61,item,delivery_center,k,k,k,s1,s2,h1,k
62,department,company,s1,k,k,s1,s1,k,s1
63,employee,department,s1,s1,k,s1,s1,s1,s1
64,file,directory,s1,s1,s1,s2,k,k,s1
65,triangle,shape,h1,h1,h1,h1,h1,h1,h1
66,square,shape,h1,h1,h1,h1,h1,h1,h1
67,circle,shape,h1,h1,h1,h1,h1,h1,h1
68,rectangle,shape,h1,h1,h1,h1,h1,h1,h1
69,director,employee,h1,k,k,h1,k,k,h1
70,chief,employee,h1,k,k,h1,k,k,h1
71,normal_item,item,h1,h1,h1,h1,h1,h1,h1
72,bargain_item,item,h1,h1,h1,h1,h1,h1,h1
73,new_item,item,h1,h1,h1,h1,h1,h1,h1
74,order_detail,order,h1,h1,s1,k,h1,h1,s1
75,item,catalog,s1,k,k,s1,s1,k,s1
76,item,item_manager,s1,k,k,k,h1,h2,k
77,book,resource,h1,s1,k,k,s2,k,h1
78,category,resource,h1,k,k,k,k,k,h1
79,create,action,h1,s1,s1,h1,k,s1,h1
80,update,action,h1,s1,s1,h1,k,s1,h1
81,delete,action,h1,s1,s1,h1,k,s1,h1
82,corporate_customer,customer,h1,h2,h1,h1,h1,h1,h1
83,personel_customer,customer,h1,h2,h1,h1,h1,h1,h1
84,employee,corporate_customer,k,k,h2,h1,h2,k,k
85,order_line,product,k,k,s1,k,k,k,s2
86,order_line,order,s1,k,s1,k,h2,h1,s2
87,female,person,h1,h1,h1,h1,h1,s1,h1
88,male,person,h1,h1,h1,h1,h1,s1,h1
89,doctor,person,h1,k,h1,h1,h1,s1,h1
90,therapist,person,h1,k,h1,h1,h1,s1,h1
91,nurse,person,h1,k,h1,h1,h1,s1,h1
92,surgeon,doctor,h1,s1,h1,k,k,k,h1
93,manager,person,h1,k,h1,h1,h2,s1,h1
94,engineer,person,h1,k,h1,h1,h2,s1,h1
95,salesman,person,h1,k,h1,h1,h2,s1,h1
96,summary_account,account,h1,h1,h1,k,h1,h1,h1
97,detail_account,account,h1,h1,h1,k,h1,h1,h1
98,account,entry,k,k,s2,k,k,k,k
99,oxygen,air,s1,s1,s1,s1,h2,s1,s1
100,arm,body,s1,h1,s1,s1,h2,s1,s1
101,leg,body,s1,h1,s1,s1,h2,s1,s1
102,hand,arm,s1,k,s1,s1,h2,k,k
103,hand,body,s1,h1,s1,s1,h2,k,s1
104,saddle,bike,s1,h1,s1,s1,k,s1,s1
105,frame,bike,s1,h1,s1,s1,k,s1,s1
106,bike,vehicle,h1,h2,h1,h1,s1,k,h1
107,rider,bike,k,k,k,k,k,k,k
108,bike,tyre,s1,h2,s2,s2,k,s2,s2
109,handle,bike,s1,h1,s1,s1,k,s1,s1
110,brake,bike,s1,k,s1,s1,k,s1,s1
111,train,vehicle,h1,h2,h1,h1,s1,k,h1
112,road,intersection,s1,h2,h2,s1,s1,h2,s1
113,signal,intersection,s1,k,s1,s1,k,h1,s1
114,car,road,k,k,k,k,k,k,k
115,student,school,s1,k,k,k,s1,s1,s1
116,teacher,school,s1,k,k,k,s1,s1,s1
117,class,school,s1,s1,s1,k,s1,s1,s1
118,student,class,s1,s1,s1,s1,s2,s1,s1
119,teacher,class,s1,s1,s1,s1,s1,s1,s1
120,student,teacher,k,k,k,k,k,k,k
121,speaker,devise,h1,s1,k,h1,k,s1,h1
122,microphone,devise,h1,s2,h1,h1,k,s1,h1
123,speaker,headset,s1,k,k,s1,h1,k,s1
124,microphone,headset,s1,k,k,s1,k,k,s1
125,headset,devise,h1,s1,h1,h1,h2,h1,h1
126,mouse,devise,h1,s1,h2,h1,s1,h1,h1
127,keyboard,devise,h1,s1,h1,h1,s1,h1,h1
128,mouse,computer,k,h1,s1,k,k,s1,k
129,keyboard,computer,k,h1,s1,k,k,s1,k
130,vip_account,account,h1,h1,h1,h1,h1,h2,h1
131,beginner_account,account,h1,h1,h1,h1,h1,h2,h1
132,soccer,sport,h1,s1,h1,h1,s1,s1,h1
133,baseball,sport,h1,s1,h1,h1,s1,s1,h1
134,tennis,sport,h1,s1,h1,h1,s1,s1,h1
135,player,sport,k,k,k,k,k,k,s1
136,worker,team,s1,s1,s1,s1,h1,s1,s1
137,assistant,team,s1,k,s1,s1,h1,s1,s1
138,team,company,s1,h1,k,s1,k,k,s1
139,worker,company,s1,k,s1,s1,k,s1,s1
140,worker,employee,h1,s1,k,h1,h2,k,h1
141,team,employee,h1,h2,k,s2,h1,s2,s2
142,engineer,employee,h1,h1,k,h1,s1,h2,h1
143,engineer,team,s1,k,s1,s1,k,s1,s1
144,customer_hobby,customer,s1,h1,s1,h1,h1,h1,s1
145,customer_score,customer,s1,h1,s1,h1,h1,h1,s1
146,customer,customer_system,k,h2,s1,k,h2,h2,s1
147,customer_system,administrator,k,k,s2,k,k,k,k
148,merchant_interface,administrator,k,k,k,k,k,k,k
149,merchant,merchant_interface,k,h2,s2,k,k,h2,k
150,commodity,merchant,s1,k,k,k,s1,k,k
151,customer,merchant,k,k,k,k,k,k,k
152,order,passenger,k,k,k,k,h2,k,k
153,order_flight,order,h1,h1,h1,k,h1,h1,h1
154,schedule_flight,order_flight,k,k,s1,k,k,k,s1
155,schedule,schedule_flight,k,h2,h2,k,k,h2,h2
156,flight,airport,k,k,k,k,k,k,s1
157,schedule_flight,flight,h1,k,k,k,h1,h1,h1
158,doctor,department,s1,s1,s1,k,s1,s1,h1
159,patient,doctor,k,k,s1,k,h2,k,k
160,patient,room,k,k,k,k,k,s1,s1
161,patient,receptionist,k,k,k,k,k,k,k
162,patient,bill,k,k,k,k,s1,k,k
163,receptionist,bill,k,k,k,k,s1,k,k
164,librarian,book,k,k,k,k,k,k,k
165,reference_book,book,h1,h1,h1,h1,h1,h1,h1
166,general_book,book,h1,h1,h1,h1,h1,h1,h1
167,book,user,k,k,k,k,k,k,k
168,user,librarian,k,k,k,h2,k,h2,h2
169,student,user,h1,s1,h1,h1,s1,s1,h1
170,faculty,user,h1,k,k,k,s1,k,s1
171,librarian,publisher,k,k,k,k,k,k,k
172,administrator,account,h1,k,k,h1,k,s2,k
173,web_user,account,h1,h1,h1,h1,h2,k,s2
174,product,order,s1,k,s1,k,h1,s1,s1
175,administrator,order,k,k,k,k,s2,k,k
176,payment,order,k,k,s1,k,h1,k,s1
177,web_user,payment,k,k,k,k,h2,k,k
178,account,order,k,k,k,k,h2,k,k
179,ticket,customer,k,k,k,k,k,s1,k
180,refund,customer,k,k,k,k,k,s1,k
181,booking_counter,customer,k,h1,s1,k,k,h1,k
182,agent,customer,k,k,k,k,k,k,k
183,agent,ticket,k,k,k,k,h1,s1,k
184,agent,reservation_function,h1,k,k,k,s2,k,k
185,booking_counter,ticket,k,k,k,k,s2,k,s2
186,address,person,s1,k,s1,k,k,s1,s1
187,student,person,h1,s1,h1,h1,s2,h1,h1
188,professor,person,h1,s1,h1,h1,s2,s1,h1
189,student,seminar,s1,k,s1,k,k,s1,s1
190,student,seminar_enrollment,k,k,k,k,h1,k,k
191,seminar_enrollment,seminar,k,h1,s1,k,h2,h1,k
192,professor,seminar,s1,k,k,k,s1,k,s1
193,seminar,course,k,s2,s2,s1,s1,k,s2
194,administrator,customer,k,k,k,k,k,k,k
195,cart,customer,k,k,s1,k,k,k,s1
196,product,cart,s1,k,s1,k,s2,s1,s1
197,seller,administrator,k,k,k,k,k,h1,k
198,company,seller,k,k,k,k,s2,k,s2
199,company,order,k,k,k,k,s2,k,s2
200,order,credit_card,k,k,k,k,k,k,s2
201,seller,product,k,k,s1,k,s1,k,s2
202,administrator,user,h1,k,h1,h1,s2,h2,h1
203,team_member,user,h1,k,h1,h1,s1,s2,h1
204,team_leader,team_member,h1,k,s1,h1,h1,h2,h1
205,task_system,team_member,k,k,s2,k,k,k,s2
206,task_system,project,k,k,k,k,s2,s1,s2
207,task_system,task,k,h1,s2,k,h1,h1,s2
208,order,client,k,k,s1,k,k,k,s1
209,corporation_client,client,h1,h1,h1,h1,h2,k,h1
210,individual_client,client,h1,h1,h1,h1,h1,h1,h1
211,corporation_client,employee,s1,k,s1,h2,k,k,k
212,product,employee,s1,k,k,k,k,k,k
213,product,inventory,s1,k,s2,k,s2,h2,s1
214,order_information,product,s1,k,k,k,s1,s2,s2
215,customer,shopping_interface,k,k,k,k,k,k,k
216,shopping_interface,shopping_basket,k,k,s2,k,k,h2,h2
217,shopping_interface,item_shelf,k,k,s2,k,k,s2,h2
218,item,item_shelf,s1,h2,s1,s1,s2,h1,s1
219,item,shopping_basket,s1,k,s1,k,h2,s1,s1
220,selling_interface,item_shelf,k,k,k,k,k,k,h2
221,selling_interface,marketer,k,k,k,k,k,k,k
222,customer,person,h1,s1,h1,h1,s1,s1,h1
223,marketer,person,h1,s1,h1,h1,s1,s1,h1
224,shopping,customer,k,k,k,k,h1,k,s2
225,item_shelf,shopping,s1,k,k,k,h2,k,s1
226,shopping_basket,shopping,s1,h1,s1,k,h2,s1,s1
227,square,field,s1,s1,s1,s1,h2,s1,s1
228,turn,field,k,k,k,k,k,s1,s1
229,turn,dice,k,k,k,k,h1,k,s2
230,start_square,square,h1,h1,h1,h1,h1,h1,h1
231,goal_square,square,h1,h1,h1,h1,h1,h1,h1
232,player,gameboard,k,k,s1,k,k,k,k
233,player,dice,k,k,k,k,k,k,k
234,square,gameboard,s1,s1,s1,s1,h2,k,s1
235,interface,account,k,k,k,k,k,s2,k
236,interface,hotel,k,k,k,k,k,s2,k
237,reservation_interface,interface,h1,h1,h1,h1,s2,h1,h1
238,cancellation_interface,interface,h1,h1,h1,h1,s2,h1,h1
239,account,booking,k,k,k,k,h2,k,k
240,booking_data,database,s1,h1,s1,s1,s1,h1,h1
241,account_data,database,s1,s1,s1,s1,h1,h1,h1
242,hotel_data,database,s1,s1,s1,s1,h1,h1,h1
243,database,system,k,k,s1,s1,k,s1,s1
244,booking_function,system,s1,k,s1,k,k,s1,s1
245,cancellation_function,system,s1,k,s1,k,h1,s1,s1
246,turn,record,s1,k,s1,k,k,k,k
247,gameboard,turn,k,k,k,k,k,k,s1
248,hand_piece,turn,k,s1,k,k,k,k,k
249,piece,record,k,k,s1,k,k,k,k
250,driver,speedometer,k,k,k,k,k,k,k
251,driver,pedal,k,k,k,k,h2,k,k
252,pedal,automobile_engine,k,k,s1,k,k,k,k
253,speedometer,automobile_engine,k,k,s1,k,k,s1,k
254,accelerator,pedal,h1,k,s2,k,h2,k,k
255,brake_pedal,pedal,h1,h1,h1,h1,h1,h1,h1
256,driver,automobile,k,k,k,s1,h2,k,k
257,pedal,automobile,s1,h1,s1,s1,k,s1,s1
258,automobile_engine,automobile,s1,h1,s1,s1,s1,s1,s1
259,speedometer,automobile,s1,h1,s1,s1,k,s1,s1
